line_number,source_ip,timestamp,method,path,protocol,status_code,response_size,referrer,user_agent
1,"172.25.74.111","Jul 01 2026, 01:15:58","GET","/home","HTTP/1.1",301,6713,"https://www.facebook.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
2,"164.151.247.78","Jul 02 2026, 07:03:02","GET","/products/category/electronics","HTTP/1.1",200,9873,"https://www.facebook.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0"
3,"10.126.10.68","Jun 27 2026, 10:14:17","DELETE","/home","HTTP/1.1",302,5837,"https://www.example.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
4,"172.29.12.40","Jul 02 2026, 19:34:35","GET","/services?page=2&q=search+term","HTTP/1.1",200,6483,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36"
5,"172.25.179.11","Jun 29 2026, 06:29:32","GET","/api/users?limit=20&q=search+term","HTTP/1.1",500,9996,"https://www.bing.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
6,"10.16.92.66","Jun 29 2026, 19:42:54","GET","/checkout","HTTP/1.1",404,7883,"https://www.facebook.com","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
7,"168.90.75.22","Jun 27 2026, 06:05:40","GET","/checkout?page=2&category=electronics&limit=20","HTTP/1.1",400,3657,"https://www.example.com","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
8,"10.8.142.28","Jun 26 2026, 23:34:33","POST","/checkout","HTTP/1.1",404,5531,"https://www.example.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0"
9,"179.131.97.144","Jun 30 2026, 03:17:01","GET","/register","HTTP/1.1",403,3992,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
10,"173.25.117.48","Jun 26 2026, 23:25:32","GET","/cart","HTTP/1.1",302,9749,"-","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36"
11,"8.42.24.123","Jul 03 2026, 06:31:44","DELETE","/search?category=electronics&sort=price_desc&limit=20","HTTP/1.1",200,4878,"https://www.twitter.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
12,"192.168.182.238","Jun 29 2026, 22:50:23","GET","/blog","HTTP/1.1",304,0,"https://www.google.com","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
13,"8.149.37.10","Jun 28 2026, 15:09:18","GET","/about","HTTP/1.1",500,10501,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
14,"23.163.44.234","Jul 02 2026, 02:02:35","GET","/","HTTP/1.1",302,6336,"https://www.bing.com","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
15,"1.90.188.225","Jun 27 2026, 04:47:00","GET","/products/category/clothing","HTTP/1.1",304,0,"https://www.bing.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0"
16,"214.137.9.104","Jul 03 2026, 17:45:37","GET","/search","HTTP/1.1",403,3507,"https://www.twitter.com","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0"
